87.0	12.0
164.0	213.0
30.0	66.0
29.0	106.0
147.0	226.0
156.0	50.0
277.0	334.0
247.0	178.0
77.0	212.0
136.0	75.0
150.0	199.0
29.0	172.0
34.0	135.0
193.0	121.0
162.0	296.0
176.0	25.0
218.0	283.0
194.0	243.0
20.0	118.0
136.0	132.0
272.0	151.0
233.0	143.0
137.0	348.0
134.0	42.0
66.0	40.0
227.0	134.0
50.0	54.0
82.0	193.0
93.0	121.0
46.0	294.0
150.0	248.0
42.0	166.0
142.0	162.0
206.0	161.0
91.0	128.0
50.0	115.0
57.0	16.0
96.0	199.0
12.0	276.0
94.0	14.0
224.0	129.0
77.0	8.0
244.0	17.0
164.0	267.0
172.0	265.0
95.0	107.0
53.0	89.0
12.0	234.0
61.0	304.0
156.0	3.0
180.0	114.0
32.0	170.0
99.0	197.0
76.0	107.0
263.0	47.0
14.0	63.0
147.0	120.0
70.0	140.0
258.0	156.0
237.0	350.0
116.0	370.0
133.0	211.0
212.0	195.0
174.0	268.0
253.0	61.0
20.0	36.0
280.0	223.0
268.0	163.0
253.0	130.0
139.0	5.0
166.0	13.0
194.0	371.0
202.0	136.0
106.0	155.0
207.0	235.0
254.0	36.0
64.0	91.0
92.0	107.0
57.0	106.0
267.0	323.0
50.0	68.0
34.0	275.0
202.0	354.0
198.0	280.0
223.0	147.0
95.0	205.0
193.0	212.0
41.0	200.0
202.0	258.0
189.0	157.0
105.0	170.0
208.0	144.0
262.0	324.0
47.0	111.0
187.0	277.0
25.0	220.0
181.0	119.0
146.0	310.0
278.0	201.0
216.0	301.0
